,Industry_code_NZSIOC,Year,Additions to fixed assets,Closing stocks,Current assets,Current liabilities,Current ratio,Depreciation,Disposals of fixed assets,Fixed tangible assets,"Government funding, grants and subsidies",Indirect taxes,Interest and donations,"Interest, dividends and donations",Liabilities structure,Non-operating expenses,Non-operating income,Opening stocks,Other assets,Other liabilities,Other purchases and operating expenses,Purchases and other operating expenses,Purchases of goods bought for resale,Quick ratio,Redundancy and severance,Return on equity,Return on total assets,Salaries and wages paid,Sales of goods not further processed,Sales of other goods and services,Shareholders funds or owners equity,Surplus before income tax,Surplus per employee count,Total assets,Total equity and liabilities,Total expenditure,Total income,Total income per employee count(3),Liability,Leverage ratio
155,DD12,2015,652.0,23.0,623.0,768.0,81.0,335.0,44.0,11026.024064171123,3.0,180.3384223918575,94.0,1792.8257142857142,43.07823960880196,375.65934065934067,514.2264150943396,20.0,351.0,15015.295454545454,0.0,912.0,0.0,78.0,0.0,19.880195599022006,7.97323600973236,362.0,0.0,0.0,14667.616136919316,325.0,55300.0,10.773582998804706,47742.77372262774,1855.0,2177.0,370400.0,15783.295454545454,1.0760641202504546
156,EE,2013,1804.0,3255.0,12588.0,10010.0,126.0,743.0,648.0,5847.0,2.0,183.0,411.0,202.0,32.0,273.0,133.0,3292.0,3881.0,5272.0,0.0,25454.0,0.0,93.0,15.0,29.0,9.0,7712.0,0.0,0.0,7033.0,2063.0,16900.0,10.01301437706337,22315.0,34776.0,36877.0,302700.0,15282.0,2.172899189535049
157,EE,2014,1752.0,3869.0,14461.0,12029.0,120.0,761.0,623.0,6705.0,4.0,187.0,451.0,210.0,31.0,280.0,190.0,3442.0,4044.0,5247.0,0.0,29381.0,0.0,88.0,12.0,35.0,11.0,8258.0,0.0,0.0,7934.0,2812.0,21400.0,10.134996020181966,25210.0,39318.0,41703.0,317400.0,17276.0,2.177464078648853
158,EE,2015,1971.0,4737.0,16494.0,12806.0,129.0,866.0,590.0,7214.0,2.0,197.0,518.0,225.0,33.0,333.0,422.0,4251.0,4362.0,6135.0,0.0,31904.0,0.0,92.0,9.0,36.0,12.0,9110.0,0.0,0.0,9129.0,3319.0,23800.0,10.242456669355928,28070.0,42928.0,45761.0,328000.0,18941.0,2.0748165187862853
159,EE11,2013,370.0,1627.0,4429.0,3460.0,128.0,109.0,175.0,1166.0,1.0,32.0,114.0,104.0,33.0,32.0,44.0,1631.0,1622.0,1403.0,0.0,9952.0,0.0,81.0,0.0,27.0,9.0,1701.0,0.0,0.0,2354.0,627.0,25500.0,8.884194633072273,7217.0,11940.0,12572.0,511000.0,4863.0,2.065845369583687
160,EE11,2014,370.0,1968.0,5123.0,4347.0,118.0,122.0,167.0,1319.0,3.0,30.0,129.0,110.0,29.0,51.0,37.0,1706.0,1587.0,1319.0,0.0,12172.0,0.0,73.0,2.0,36.0,11.0,1930.0,0.0,0.0,2363.0,858.0,31400.0,8.990815266184685,8029.0,14434.0,15030.0,550800.0,5666.0,2.3977994075327973
161,EE11,2015,502.0,2173.0,5784.0,4857.0,119.0,140.0,155.0,1627.0,1.0,39.0,149.0,119.0,28.0,63.0,341.0,2073.0,1705.0,1692.0,0.0,13941.0,0.0,74.0,3.0,43.0,12.0,2264.0,0.0,0.0,2567.0,1112.0,36700.0,9.117786390365575,9116.0,16596.0,17608.0,580300.0,6549.0,2.551227113361901
162,EE112,2013,251.0,1191.0,2805.0,2118.0,132.0,80.0,112.0,796.0,1.0,23.0,81.0,30.0,24.0,17.0,28.0,1176.0,469.0,983.0,0.0,5604.0,0.0,76.0,0.0,49.0,12.0,1077.0,0.0,0.0,970.0,470.0,30500.0,8.311398278436641,4070.0,6882.0,7337.0,476100.0,3101.0,3.1969072164948455
163,EE112,2014,247.0,1462.0,3314.0,2735.0,121.0,89.0,122.0,881.0,2.0,20.0,91.0,1792.8257142857142,22.0,33.0,514.2264150943396,1226.0,453.0,874.0,0.0,7412.0,0.0,68.0,1.0,55.0,12.0,1249.0,0.0,0.0,1040.0,577.0,31900.0,8.444192298531748,4648.0,8894.0,9235.0,510200.0,3609.0,3.4701923076923076
164,EE112,2015,358.0,1846.0,3769.0,3262.0,116.0,101.0,100.0,1145.0,1.0,27.0,110.0,1792.8257142857142,18.0,48.0,514.2264150943396,1619.0,543.0,1202.0,0.0,8538.0,0.0,59.0,2.0,65.0,12.0,1525.0,0.0,0.0,992.0,647.0,31600.0,8.604654467186231,5457.0,10349.0,10768.0,525500.0,4464.0,4.5
165,EE113,2013,119.0,435.0,1624.0,1342.0,121.0,29.0,63.0,369.0,0.0,9.0,32.0,75.0,44.0,15.0,16.0,455.0,1153.0,420.0,0.0,4348.0,0.0,89.0,0.0,11.0,5.0,624.0,0.0,0.0,1385.0,157.0,17100.0,8.054204897064407,3147.0,5058.0,5235.0,569600.0,1762.0,1.272202166064982
166,EE113,2014,122.0,506.0,1809.0,1612.0,112.0,33.0,44.0,438.0,0.0,10.0,39.0,1792.8257142857142,39.0,18.0,514.2264150943396,480.0,1134.0,445.0,0.0,4760.0,0.0,81.0,0.0,21.0,8.0,680.0,0.0,0.0,1324.0,281.0,30600.0,8.125926802707886,3381.0,5540.0,5795.0,630600.0,2057.0,1.5536253776435045
167,EE113,2015,144.0,327.0,2015.0,1594.0,126.0,39.0,55.0,481.0,0.0,12.0,39.0,1792.8257142857142,43.0,15.0,514.2264150943396,454.0,1162.0,490.0,0.0,5403.0,0.0,106.0,0.0,30.0,13.0,739.0,0.0,0.0,1575.0,466.0,47300.0,8.204945165019208,3659.0,6247.0,6840.0,694100.0,2084.0,1.3231746031746032
168,EE12,2013,442.0,167.0,2631.0,2130.0,124.0,240.0,117.0,1445.0,0.0,49.0,67.0,28.0,38.0,17.0,19.0,167.0,784.0,867.0,0.0,6802.0,0.0,116.0,5.0,24.0,9.0,2121.0,0.0,0.0,1862.0,450.0,14500.0,8.488587934405903,4859.0,9297.0,9747.0,313800.0,2997.0,1.6095596133190118
169,EE12,2014,429.0,179.0,3042.0,2199.0,138.0,243.0,84.0,1546.0,0.0,52.0,68.0,30.0,43.0,29.0,20.0,176.0,734.0,809.0,0.0,7062.0,0.0,130.0,3.0,21.0,9.0,2202.0,0.0,0.0,2314.0,491.0,15300.0,8.579604451537634,5322.0,9656.0,10145.0,316400.0,3008.0,1.299913569576491
